"","date","id","title","polarity","type"
"269","2020-05-03","x1256900134547439616","GBCLopi",-0.6,"twitter"
"270","2020-05-03","x1257095834480582657","carlesgusau",-0.15,"twitter"
"271","2020-05-03","x1257060618873552899","eldiarioes",0.25,"twitter"
"272","2020-05-03","x1256954356471037954","emilio_delrio",0,"twitter"
"273","2020-05-03","x1257024843419127810","LaLiga",0,"twitter"
"274","2020-05-03","x1257017723294560266","ldpsincomplejos",-0.75,"twitter"
"275","2020-05-03","x1256748496796950529","alfredodelmazo",0,"twitter"
"276","2020-05-03","x1257097597262725120","Arualemon",-0.75,"twitter"
"277","2020-05-03","x1256757838334038018","Edomex",0.8,"twitter"
"278","2020-05-03","x1257096388116205571","okdiario",0,"twitter"
"279","2020-05-03","x1256737524455739392","CMonteroOficial",-0.25,"twitter"
"280","2020-05-03","x1257096253114105858","abc_es",0,"twitter"
"281","2020-05-03","x1257075559231885314","el_pais",-0.25,"twitter"
"282","2020-05-03","x1256988996095401989","MazzoleniJulio",0,"twitter"
"283","2020-05-03","x1256948187916644352","Serjfield",0.8,"twitter"
"284","2020-05-03","x1256802961906208769","iBarbarellah",0,"twitter"
"285","2020-04-04","x1246476811548180480","lopezobrador_",0.1,"twitter"
"286","2020-04-04","x1246484545354059785","SaludPublicaEs",-0.25,"twitter"
"287","2020-04-04","x1246489947298725890","janogarcia_",-0.25,"twitter"
"288","2020-04-04","x1246524686038679556","realmadrid",0,"twitter"
"289","2020-04-04","x1246499537025449984","JesusCintora",-0.75,"twitter"
"290","2020-04-04","x1246495317094273025","DSimphony",0,"twitter"
"291","2020-04-04","x1246407023178256386","eduardoinda",-0.75,"twitter"
"292","2020-04-04","x1246588274321305601","dw_espanol",0,"twitter"
"293","2020-04-04","x1246479583043620869","Lenin",0,"twitter"
"294","2020-04-04","x1246578097597698048","MazzoleniJulio",0.6,"twitter"
"295","2020-04-04","x1246577036505812995","eldiarioes",-0.8,"twitter"
"296","2020-04-04","x1246367201440997377","abc_es",0,"twitter"
"297","2020-04-04","x1246489266542333959","_lauratf",0,"twitter"
"298","2020-04-04","x1246291323025534979","el_pais",-0.25,"twitter"
"299","2020-04-04","x1246367881450979335","UMEgob",0,"twitter"
"300","2020-04-04","x1246496669530800128","CarlosLoret",0,"twitter"
"301","2020-04-04","x1246260049296621568","sanidadgob",0,"twitter"
"302","2020-04-04","x1246588083203706880","dsmolansky",-0.75,"twitter"
"303","2020-04-04","x1246517964536524801","HLGatell",-0.5,"twitter"
"304","2020-04-04","x1246556862931140609","Teleton",-1,"twitter"
"305","2020-04-04","x1246427464450093056","JMarquesSoprano",0.5,"twitter"
"306","2020-04-04","x1246522795674271745","jmdelalamo",-0.6,"twitter"
"307","2020-04-04","x1246588353996341248","AntonioMaestre",-1,"twitter"
"308","2020-04-04","x1246586932194414592","sanchezcastejon",-0.25,"twitter"
"309","2020-04-04","x1246588327974887427","nayibbukele",0,"twitter"
"310","2020-05-04","x1257459989834354699","J_Zaragoza_",-0.25,"twitter"
"311","2020-05-04","x1257458561287966724","XSalaimartin",0,"twitter"
"312","2020-05-04","x1257129135144665089","ANT_ECUADOR",0.25,"twitter"
"313","2020-05-04","x1257165274886922240","SENANPanama",-0.15,"twitter"
"314","2020-05-04","x1257336153029718017","LaLiga",0,"twitter"
"315","2020-05-04","x1257321244552126471","pauuvillarreal",0,"twitter"
"316","2020-05-04","x1257443786252267521","JesusCintora",0,"twitter"
"317","2020-05-04","x1257349582570360833","Riesgos_Ec",0.4,"twitter"
"318","2020-05-04","x1257374326854205440","vox_es",-0.25,"twitter"
"319","2020-05-04","x1257283885039325184","anapicallo",0,"twitter"
"320","2020-05-04","x1257459551546327040","Cortero72",0,"twitter"
"321","2020-05-04","x1257223455734464513","abc_es",0,"twitter"
"322","2020-05-04","x1257454780223557638","ldpsincomplejos",-0.75,"twitter"
"323","2020-05-04","x1257445593967988745","trinomonero",0,"twitter"
"324","2020-05-04","x1257131812461203457","iBarbarellah",0,"twitter"
"325","2020-05-04","x1257436613719789569","Edomex",0.8,"twitter"
"326","2020-05-04","x1257416250763902978","Txomin52",-0.25,"twitter"
"327","2020-05-04","x1257442065018912771","el_pais",-0.25,"twitter"
"328","2020-05-04","x1257459573843255297","WillyTolerdoo",0,"twitter"
"329","2020-05-04","x1257459746824753157","Tonicanto1",-0.5,"twitter"
"330","2020-05-04","x1257413107368034311","MazzoleniJulio",0,"twitter"
"331","2020-05-04","x1257356938733588484","alfredodelmazo",0,"twitter"
"332","2020-05-04","x1257328674426232834","pnique",-0.25,"twitter"
"333","2020-05-04","x1257290802650394624","eldiarioes",-0.5,"twitter"
"334","2020-05-04","x1257131752319049728","Serjfield",0.8,"twitter"
"335","2020-04-05","x1246950655178276865","SENANPanama",-0.25,"twitter"
"336","2020-04-05","x1246942409327509506","24h_tve",-0.25,"twitter"
"337","2020-04-05","x1246949889336107009","jaimeberenguer",0,"twitter"
"338","2020-04-05","x1246728655931355137","policia",0.6,"twitter"
"339","2020-04-05","x1246797099968212992","eduardoinda",-0.75,"twitter"
"340","2020-04-05","x1246950684794261505","GUTY14HEZ",-0.75,"twitter"
"341","2020-04-05","x1246798379063050240","SaludPublicaEs",-0.25,"twitter"
"342","2020-04-05","x1246950642486317056","xpgigirey",0,"twitter"
"343","2020-04-05","x1246938189799002113","alfreyes14",-0.6,"twitter"
"344","2020-04-05","x1246726907552464896","numer344",-0.25,"twitter"
"345","2020-04-05","x1246924584974196736","el_pais",0,"twitter"
"346","2020-04-05","x1246949949914386432","LaVanguardia",0,"twitter"
"347","2020-04-05","x1246937441849745408","matthewbennett",0,"twitter"
"348","2020-04-05","x1246640154111963137","sanidadgob",0,"twitter"
"349","2020-04-05","x1246917651793920002","okdiario",0,"twitter"
